 Td        ID        Tj        Df        Dd        Db
 48       197        47         0         1         1
 49      2050        15         2        32        34
 49      2173        41         0         8         8
 49      2166        40         0         9         9
 49      2053        15         2        32        34
 49       166        40         2         7         9
 49       201        48         0         1         1
 49       205        48         0         1         1
 50      2136        33         0        17        17
 50      2137        33         1        16        17
 50       174        41         2         7         9
 50       175        41         2         7         9
 50       187        44         2         4         6
 50       188        44         2         4         6
 51      2066        18         3        30        33
 51      2090        23         0        28        28
 51      2102        26        14        11        25
 51       177        42         2         7         9
 51       179        42         2         7         9
 51       180        42         2         7         9
 51       167        40         2         9        11
 51       170        40         2         9        11
 51       208        50         0         1         1
 51       209        50         0         1         1
 51       171        41         2         8        10
 52       214        51         0         1         1
 52       211        51         0         1         1
 52       191        46         2         4         6
 52       192        46         2         4         6
 52       195        46         2         4         6
 52       189        44         2         6         8
 52       176        42         2         8        10
 54      2039        12         1        41        42
 54      2183        43         0        11        11
 54       203        48         2         4         6
 54       194        46         2         6         8
 54       190        44         2         8        10
 54       220        53         0         1         1
 55      2192        46         1         8         9
 55       196        47         2         6         8
 55       199        47         2         6         8
 55       182        43         2        10        12
 55       225        54         0         1         1
 55       223        54         0         1         1
 55       184        43         2        10        12
 55       173        41         2        12        14
 56      2062        17         2        37        39
 56       202        48         2         6         8
 56       226        55         0         1         1
 56       230        55         0         1         1
 57      2077        20         3        34        37
 57       200        47         2         8        10
 57       181        43         2        12        14
 57       231        57         0         0         0
 57       210        50         2         5         7
 57       204        48         2         7         9
 58      2081        21         3        34        37
 58      2158        37         0        21        21
 58      2095        25         3        30        33
 58       218        53         1         4         5
 58       240        58         0         0         0
 58       239        58         0         0         0
 59      2219        53         3         3         6
 59       206        50         2         7         9
 59       207        50         2         7         9
 59       216        53         1         5         6
 60      2083        21         4        35        39
 60      2065        18         3        39        42
 60      2200        48         0        12        12
 60      2221        54         1         5         6
 60       217        53         1         6         7
 60       212        51         2         7         9
 60       213        51         2         7         9
 60       227        55         1         4         5
 60       244        59         0         1         1
 60       241        59         0         1         1
 60       247        60         0         0         0
 60       228        55         1         4         5
 61       248        60         0         1         1
 61       246        60         0         1         1
 61       242        59         0         2         2
 61       221        54         2         5         7
 61       222        54         2         5         7
 61       224        54         2         5         7
 61       236        58         1         2         3
 62      2089        22         3        37        40
 62      2057        16         2        44        46
 62       219        53         1         8         9
 62       229        55         1         6         7
 62       232        57         1         4         5
 62       254        61         0         1         1
 63      2156        37        11        15        26
 63      2113        28         0        35        35
 63      2177        42         0        21        21
 63      2204        48         3        12        15
 63       215        51         2        10        12
 63       249        60         1         2         3
 63       237        58         2         3         5
 63       258        62         0         1         1
 63       264        63         0         0         0
 63       263        63         0         0         0
 64      2091        23         4        37        41
 64      2092        23         4        37        41
 64      2135        33         6        25        31
 64       238        58         2         4         6
 64       262        63         0         1         1
 64       261        63         0         1         1
 64       265        63         0         1         1
 64       233        57         2         5         7
 64       234        57         2         5         7
 64       235        57         2         5         7
 65      2214        51         4        10        14
 65      2017         6         2        57        59
 65      2114        28         5        32        37
 65      2140        34         6        25        31
 65       250        60         1         4         5
 65       252        61         1         3         4
 65       255        61         1         3         4
 65       243        59         2         4         6
 65       245        59         2         4         6
 66      2230        57         0         9         9
 66      2080        21         3        42        45
 66      2082        21         3        42        45
 66       259        62         1         3         4
 66       270        65         0         1         1
 66       267        65         0         1         1
 66       251        61         1         4         5
 67       256        62         1         4         5
 67       274        66         0         1         1
 67       276        67         0         0         0
 67       260        62         2         3         5
 67       253        61         1         5         6
 68      2096        25         4        39        43
 68       266        65         0         3         3
 69      2098        25         4        40        44
 69      2084        21         4        44        48
 69      2233        57         2        10        12
 69      2151        36         6        27        33
 69       283        68         0         1         1
 69       268        65         1         3         4
 69       257        62         1         6         7
 70       286        69         0         1         1
 70       279        67         1         2         3
 70       271        66         1         3         4
 70       272        66         1         3         4
 70       273        66         1         3         4
 71       300        71         0         0         0
 71       299        71         0         0         0
 71       296        71         0         0         0
 72      2086        22         3        47        50
 72      2087        22         3        47        50
 72      2104        26         4        42        46
 72      2238        58         4        10        14
 72      2246        60         0        12        12
 72       282        68         1         3         4
 72       284        68         1         3         4
 72       285        68         1         3         4
 72       280        67         1         4         5
 72       275        66         1         5         6
 72       269        65         1         6         7
 72       277        67         0         5         5
 73      2239        58         1        14        15
 73       278        67         0         6         6
 73       304        72         0         1         1
 73       303        72         0         1         1
 73       302        72         0         1         1
 73       301        72         0         1         1
 73       287        69         1         3         4
 73       288        69         1         3         4
 73       290        69         1         3         4
 74       305        72         0         2         2
 74       281        68         0         6         6
 74       289        69         1         4         5
 74       291        70         1         3         4
 75      2106        27         5        43        48
 75      2108        27         5        43        48
 75      2109        27         5        43        48
 75       320        75         0         0         0
 76      2018         6         0        70        70
 76      2079        20         3        53        56
 76      2110        28         5        43        48
 76       293        70         1         5         6
 76       295        70         1         5         6
 76       297        71         1         4         5
 76       298        71         1         4         5
 76       319        75         0         1         1
 77      2235        58         4        15        19
 77       307        73         1         3         4
 77       309        73         1         3         4
 78       294        70         1         7         8
 78       325        76         0         2         2
 78       329        77         0         1         1
 78       328        77         0         1         1
 78       327        77         0         1         1
 78       324        76         0         2         2
 78       321        76         0         2         2
 78       306        73         0         5         5
 79      2263        63         2        14        16
 79      2304        72         0         7         7
 79      2216        53         8        18        26
 79      2308        73         1         5         6
 79      2118        29         6        44        50
 79       315        74         1         4         5
 79       308        73         1         5         6
 79       310        73         1         5         6
 79       340        79         0         0         0
 79       292        70         1         8         9
 79       311        74         1         4         5
 80      2097        25         4        51        55
 80      2285        69         0        11        11
 80      2258        62         1        17        18
 80      2228        55         5        20        25
 80       312        74         1         5         6
 80       313        74         1         5         6
 80       314        74         1         5         6
 80       335        78         0         2         2
 81      2152        36         6        39        45
 81      2307        73         0         8         8
 81      2154        36         7        38        45
 81       316        75         1         5         6
 81       338        79         0         2         2
 81       341        80         0         1         1
 81       318        75         1         5         6
 81       326        77         1         3         4
 81       330        77         1         3         4
 82      2249        60         1        21        22
 82      2122        30         6        46        52
