 Td        ID        Tj        Df        Dd        Db
109      2102        34        10        65        75
109      2140        46        16        47        63
110      2141        46        16        48        64
111      2142        46        16        49        65
111      2143        46        16        49        65
111      2144        46        16        49        65
111      2145        47        16        48        64
111      2146        47        16        48        64
111        81        29         7        75        82
111        82        29         8        74        82
112        84        29         8        75        83
112       111        38        11        63        74
113       112        38        11        64        75
113       113        38        11        64        75
113       114        38        12        63        75
113       196        66        20        27        47
113       197        66        20        27        47
115      2083        29         8        78        86
115       120        39        12        64        76
117       152        52        15        50        65
117       153        52        15        50        65
119       157        53        15        51        66
120       158        53        16        51        67
120       159        53        16        51        67
121       160        53        16        52        68
121       123        40        13        68        81
122      2119        39        13        70        83
122      2155        53        16        53        69
122       124        40        13        69        82
122       125        40        13        69        82
122        89        31         9        82        91
123      2158        53        16        54        70
123      2159        53        17        53        70
123       126        41        13        69        82
123       127        41        13        69        82
124      2123        40        13        71        84
124      2160        54        17        53        70
125      2161        54        17        54        71
125      2162        54        17        54        71
125       170        55        17        53        70
125       129        41        14        70        84
126      2125        41        13        72        85
126      2127        41        13        72        85
127       130        41        14        72        86
130      2169        55        18        57        75
131      2170        56        18        57        75
131       131        42        14        75        89
132      2172        56        18        58        76
132      2173        56        18        58        76
134      2175        57        18        59        77
134       176        57        18        59        77
134       231        76        24        34        58
136      2179        57        19        60        79
136       179        57        19        60        79
137      2133        42        15        80        95
137      2134        42        15        80        95
138        99        33         9        96       105
139      2094        32        10        97       107
139      2077        23         9       107       116
139      2181        59        19        61        80
139      2182        59        19        61        80
139       183        59        19        61        80
139       184        59        19        61        80
139       185        59        19        61        80
140      2183        59        19        62        81
141       139        44        15        82        97
142      2135        44        15        83        98
142      2136        44        15        83        98
142       143        46        15        81        96
142       144        46        15        81        96
143      2247        80        27        36        63
143       145        46        15        82        97
143       187        62        19        62        81
144      2138        44        15        85       100
145      2100        34        10       101       111
145       110        35        11        99       110
146      2185        62        19        65        84
146      2186        62        20        64        84
146      2187        62        20        64        84
146      2188        62        20        64        84
147       146        47        15        85       100
147       148        47        15        85       100
149      2147        47        17        85       102
149      2148        47        17        85       102
149      2149        47        17        85       102
149      2190        65        20        64        84
149        83        29         8       112       120
150       115        38        12       100       112
150       198        66        20        64        84
151      2197        66        20        65        85
151       199        66        20        65        85
151       200        66        20        65        85
152       201        67        20        65        85
152       202        67        20        65        85
153      2082        29         8       116       124
153      2084        29         8       116       124
154      2111        38        12       104       116
154       151        52        15        87       102
156      2112        38        12       106       118
156      2202        67        21        68        89
156       154        52        15        89       104
156       155        52        15        89       104
158       156        53        15        90       105
159      2204        67        22        70        92
159      2205        68        22        69        91
159       212        69        22        68        90
159       213        69        22        68        90
161      2209        68        23        70        93
161      2150        52        16        93       109
162      2151        52        16        94       110
162      2152        52        16        94       110
162       161        54        16        92       108
163       162        54        16        93       109
163       163        54        17        92       109
164      2153        52        16        96       112
164      2154        52        16        96       112
164      2210        69        23        72        95
165       167        55        17        93       110
165       168        55        17        93       110
165       169        55        17        93       110
166      2156        53        16        97       113
166      2157        53        16        97       113
169      2163        54        17        98       115
169      2164        54        17        98       115
170       171        56        17        97       114
171      2215        73        23        75        98
171       221        74        23        74        97
171       222        74        23        74        97
171       223        74        23        74        97
171       224        74        23        74        97
172      2216        73        23        76        99
173       225        74        24        75        99
174      2165        55        18       101       119
174      2167        55        18       101       119
174       173        56        18       100       118
175       174        56        18       101       119
175       175        56        18       101       119
176      2220        74        24        78       102
176      2221        74        24        78       102
176      2222        74        24        78       102
176      2223        74        24        78       102
177       228        75        24        78       102
178      2224        74        25        79       104
179      2309       100        32        47        79
179       232        76        25        78       103
180      2174        56        18       106       124
180       234        76        25        79       104
181       178        57        19       105       124
181       180        57        19       105       124
182      2230        76        25        81       106
182       237        77        25        80       105
182       238        77        25        80       105
183      2176        57        19       107       126
183      2177        57        19       107       126
183      2178        57        19       107       126
183       239        77        26        80       106
183       240        77        26        80       106
184       181        59        19       106       125
184       242        79        26        79       105
184       243        79        26        79       105
185      2237        77        26        82       108
185       244        79        26        80       106
185       245        79        26        80       106
186       140        44        15       127       142
187      2093        32        10       145       155
187      2180        59        19       109       128
187      2240        79        26        82       108
187      2241        79        26        82       108
187      2242        79        26        82       108
188      2244        79        27        82       109
188       186        62        19       107       126
189      2184        59        20       110       130
190      2245        80        27        83       110
190      2246        80        27        83       110
190      2248        80        27        83       110
191       188        62        19       110       129
191       108        35        11       145       156
191       109        35        11       145       156
192      2249        80        28        84       112
192      2139        44        16       132       148
194      2189        62        20       112       132
