 Td        ID        Tj        Df        Dd        Db
 50       181        47         0         3         3
 50       182        47         0         3         3
 51       174        43         1         7         8
 51       194        49         1         1         2
 51       195        49         1         1         2
 52      2172        43         1         8         9
 52       187        48         1         3         4
 52       188        48         1         3         4
 52       189        48         1         3         4
 52       190        48         1         3         4
 52       183        47         1         4         5
 52       191        49         1         2         3
 52       193        49         1         2         3
 53       199        50         1         2         3
 53       200        50         1         2         3
 54      2177        44         1         9        10
 54       197        50         1         3         4
 54       198        50         1         3         4
 54       201        52         0         2         2
 54       202        52         0         2         2
 54       203        52         0         2         2
 54       207        53         0         1         1
 54       209        53         0         1         1
 55       206        53         0         2         2
 55       208        53         0         2         2
 55       212        54         0         1         1
 56      2182        47         1         8         9
 56       213        54         1         1         2
 56       210        53         1         2         3
 56       204        52         1         3         4
 56       205        52         1         3         4
 56       211        54         0         2         2
 56       216        55         0         1         1
 56       217        55         0         1         1
 56       218        55         0         1         1
 57      2004         1        42        14        56
 57       219        55         1         1         2
 57       220        55         1         1         2
 57       214        54         1         2         3
 57       215        54         1         2         3
 57       221        56         0         1         1
 57       222        56         0         1         1
 57       230        57         0         0         0
 57       226        57         0         0         0
 57       224        56         1         0         1
 57       225        56         1         0         1
 58      2227        57         0         1         1
 58       223        56         0         2         2
 59       227        57         0         2         2
 59       232        58         0         1         1
 59       233        58         0         1         1
 59       231        58         0         1         1
 59       239        59         0         0         0
 59       228        57         0         2         2
 59       229        57         0         2         2
 59       235        58         0         1         1
 60      2216        55         1         4         5
 60      2228        57         0         3         3
 60      2221        56         1         3         4
 60      2201        52         5         3         8
 60      2199        50         0        10        10
 60       234        58         0         2         2
 60       236        59         0         1         1
 60       237        59         0         1         1
 60       242        60         0         0         0
 60       238        59         0         1         1
 60       240        59         0         1         1
 60       241        60         0         0         0
 61       243        60         0         1         1
 61       244        60         0         1         1
 62      2213        54         3         5         8
 62      2212        54         3         5         8
 62      2229        57         0         5         5
 62      2232        58         0         4         4
 62       245        60         0         2         2
 62       248        62         0         0         0
 62       246        62         0         0         0
 63      2230        58         0         5         5
 63      2194        49         0        14        14
 63       247        62         0         1         1
 63       249        62         0         1         1
 63       250        62         0         1         1
 64      2223        56         1         7         8
 64      2243        60         0         4         4
 64       251        63         0         1         1
 64       252        63         0         1         1
 64       255        63         0         1         1
 64       253        63         0         1         1
 64       254        63         0         1         1

Battle result: Loss

Earth army statistics
Total earth soliders: 203
Total earth tanks: 25
Total earth gunnery: 27
Percentage of destructed earth soliders relative to total soliders: 100%
Percentage of destructed earth tanks relative to total tanks: 100%
Percentage of destructed earth gunnery relative to total gunnery: 100%
Percentage of total destructed units relative to total units: 100%
Average Delay before first being shot: 0.235294
Average time to destruction after first shot: 1.42745
Average battle time: 1.66275
Df/Db percentage: 14.1509 %
Dd/Db percentage: 85.8491%

Alien army statistics
Total alien soliders: 31
Total alien drones: 187
Total alien monsters: 37
Percentage of destructed alien soliders relative to total soliders: 87.0968%
Percentage of destructed alien drones relative to total drones: 5.88235%
Percentage of destructed alien monsters relative to total monsters: 97.2973%
Percentage of total destructed units relative to total units: 29.0196%
Average Delay before first being shot: 1.82432
Average time to destruction after first shot: 7.22973
Average battle time: 9.05405
Df/Db percentage: 20.1493%
Dd/Db percentage: 79.8507%
